canonical_smiles,pIC50,MolWt,LogP,HDonors,HAcceptors,TPSA,RotatableBonds
CCCCCCCCC1CCC(=O)O1,1.2365720064370627,198.30599999999995,3.4426000000000023,0.0,2.0,26.3,7.0
CCCCCC1CCOC(=O)C1,1.1426675035687315,170.25199999999998,2.5199000000000007,0.0,2.0,26.3,4.0
O=C1Cc2ccccc2C1,1.0969100130080565,132.16199999999995,1.3543,0.0,1.0,17.07,0.0
CCCCCCC1CCC(=O)O1,0.958607314841775,170.25199999999998,2.6624000000000008,0.0,2.0,26.3,5.0
c1ccc(-c2ccccc2)cc1,0.7958800173440752,154.21199999999996,3.353600000000001,0.0,0.0,0.0,1.0
CCCCCC1CCOC(=O)C1,0.6382721639824072,170.25199999999998,2.5199000000000007,0.0,2.0,26.3,4.0
Clc1ccccc1-c1ccccc1,0.6382721639824072,188.657,4.007000000000002,0.0,0.0,0.0,1.0
O=C1Cc2ccccc2O1,0.585026652029182,134.13399999999996,1.1481,0.0,2.0,26.3,0.0
COc1ccc(C=O)cc1,0.5686362358410127,136.14999999999998,1.5076999999999998,0.0,2.0,26.3,2.0
CCCCCC1CCC(=O)O1,0.5086383061657274,156.225,2.2723000000000004,0.0,2.0,26.3,4.0
O=c1[nH]c2ccccc2o1,0.431798275933005,135.12199999999996,1.1211,1.0,2.0,46.0,0.0
c1ccc2c(c1)CCC2,0.2596373105057562,118.17899999999999,2.1753,0.0,0.0,0.0,0.0
c1ccc2c(c1)CCO2,-0.07918124604762482,120.15099999999998,1.6214999999999997,0.0,1.0,9.23,0.0
O=C1CCC(c2ccccc2)O1,-0.36172783601759284,162.188,2.0647,0.0,2.0,26.3,1.0
CCCCc1ccccc1,-0.568201724066995,134.22199999999998,3.0292000000000012,0.0,0.0,0.0,3.0
CN1CCC[C@@H]1c1cccnc1,-0.6127838567197355,162.236,1.8483,0.0,2.0,16.130000000000003,1.0
Cc1cc(C)oc(=O)c1,-0.6532125137753437,124.13899999999998,1.25664,0.0,2.0,30.21,0.0
CCCC1CCC(=O)O1,-0.6532125137753437,128.171,1.4921,0.0,2.0,26.3,2.0
CN1C(=O)CC[C@H]1c1cccnc1,-0.7323937598229685,176.21900000000002,1.3749,0.0,2.0,33.2,1.0
CCC1CCC(=O)O1,-0.9956351945975499,114.14399999999999,1.1019999999999999,0.0,2.0,26.3,1.0
CC1CCC(=O)O1,-1.1760912590556813,100.11699999999999,0.7119,0.0,2.0,26.3,0.0
O=C1CCCCCO1,-1.6020599913279623,114.144,1.1036000000000001,0.0,2.0,26.3,0.0
COC1=CC(=O)OC1,-1.6020599913279623,114.1,0.07350000000000001,0.0,3.0,35.53,1.0
CONC(=O)c1cc(Nc2ncnn3cc(-c4ncc(C)o4)c(C(C)C)c23)c(F)cc1F,4.1938200260161125,442.4260000000002,4.129120000000003,2.0,8.0,106.58,6.0
O=c1[nH]c2ccc(C(F)(F)F)cc2c(-c2cc(Cl)ccc2O)c1CCO,1.5228787452803376,383.75300000000016,4.107700000000003,3.0,3.0,73.32000000000001,3.0
N#CCn1c(=O)c(CCO)c(-c2cc(Cl)ccc2O)c2cc(C(F)(F)F)ccc21,1.3979400086720375,422.7900000000001,4.104680000000002,2.0,5.0,86.25,4.0
NC(=O)Cn1c(=O)c(CCO)c(-c2cc(Cl)ccc2O)c2cc(C(F)(F)F)ccc21,1.0,440.80500000000006,3.0664000000000016,3.0,5.0,105.55000000000001,5.0
